CÓDIGO,AÑO DE INGRESO,REGIÓN,DEPARTAMENTO,DISTRITO,SEXO,EDAD,ESTUDIOS ALCANZADOS,OCUPACIÓN,CARRERA PROFESIONAL O TÉCNICA
MCC-2020-2470,2020,CUSCO,CUSCO,WANCHAQ,F,25,ESTUDIANTE PREGRADO,ESTUDIANTE,DERECHO
MCC-2020-2485,2020,CUSCO,CUSCO,WANCHAQ,F,24,ESTUDIANTE PREGRADO,ESTUDIANTE,DERECHO
MCC-2020-2498,2020,CUSCO,CUSCO,WANCHAQ,M,60,LICENCIADO/BACHILLER,LABORANDO,DERECHO
MCC-2020-2521,2020,CUSCO,CUSCO,WANCHAQ,F,24,ESTUDIANTE PREGRADO,DESEMPLEADO,DERECHO
MCC-2020-2525,2020,CUSCO,CUSCO,WANCHAQ,F,26,ESTUDIANTE PREGRADO,LABORANDO,DERECHO
MCC-2020-2546,2020,CUSCO,LA CONVENCION,HUAYOPATA,F,27,ESTUDIANTE PREGRADO,LABORANDO,DERECHO
MCC-2020-2588,2020,CUSCO,QUISPICANCHI,OCONGATE,F,25,LICENCIADO/BACHILLER,INDEPENDIENTE,DERECHO
MCC-2020-2599,2020,CUSCO,URUBAMBA,CHINCHERO,M,26,ESTUDIANTE PREGRADO,LABORANDO,DERECHO
MCC-2020-2447,2020,CUSCO,CUSCO,WANCHAQ,M,45,LICENCIADO/BACHILLER,ESCRITOR,EDUCACION
MCC-2020-2576,2020,CUSCO,PAUCARTAMBO,CHALLABAMBA,F,35,ESTUDIANTE PREGRADO,PROYECTISTA,ECONOMIA
MCC-2020-2138,2020,CUSCO,CUSCO,CUSCO,M,31,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2142,2020,CUSCO,CUSCO,CUSCO,F,26,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2144,2020,CUSCO,ANTA,HUAROCONDO,F,25,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2184,2020,CUSCO,CANCHIS,SICUANI,F,31,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2202,2020,CUSCO,CANCHIS,SICUANI,F,35,ESTUDIANTE PREGRADO,DESEMPLEADO,ECONOMIA
MCC-2020-2215,2020,CUSCO,CHUMBIVILCAS,CHAMACA,M,32,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2223,2020,CUSCO,CUSCO,CUSCO,F,24,LICENCIADO/BACHILLER,PRACTICANTE,ECONOMIA
MCC-2020-2235,2020,CUSCO,CUSCO,SANTIAGO,F,24,ESTUDIANTE PREGRADO,ESTUDIANTE,ECONOMIA
MCC-2020-2269,2020,CUSCO,CUSCO,CUSCO,M,31,MAESTRIA,DESEMPLEADO,ECONOMIA
MCC-2020-2299,2020,CUSCO,CUSCO,CUSCO,F,36,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2331,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,34,ESTUDIANTE PREGRADO,DESEMPLEADO,ECONOMIA
MCC-2020-2351,2020,CUSCO,CUSCO,SAN JERONIMO,F,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ECONOMIA
MCC-2020-2359,2020,CUSCO,CUSCO,SAN JERONIMO,F,25,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2364,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,24,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2365,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,30,ESTUDIANTE PREGRADO,LABORANDO,ECONOMIA
MCC-2020-2370,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,41,MAESTRIA,LABORANDO,ECONOMIA
MCC-2020-2372,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,28,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2399,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,34,MAESTRIA,LABORANDO,ECONOMIA
MCC-2020-2415,2020,CUSCO,CUSCO,CUSCO,F,36,ESTUDIANTE PREGRADO,DESEMPLEADO,ECONOMIA
MCC-2020-2440,2020,CUSCO,CUSCO,SAN JERONIMO,M,29,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2444,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,30,MAESTRIA,LABORANDO,ECONOMIA
MCC-2020-2462,2020,CUSCO,CUSCO,WANCHAQ,F,21,ESTUDIANTE PREGRADO,ESTUDIANTE,ECONOMIA
MCC-2020-2464,2020,CUSCO,CUSCO,SAN JERONIMO,F,29,ESTUDIANTE PREGRADO,ESTUDIANTE,ECONOMIA
MCC-2020-2471,2020,CUSCO,CUSCO,WANCHAQ,M,29,LICENCIADO/BACHILLER,ESTUDIANTE,ECONOMIA
MCC-2020-2490,2020,CUSCO,CUSCO,WANCHAQ,F,30,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2493,2020,CUSCO,CUSCO,WANCHAQ,F,23,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2511,2020,CUSCO,CUSCO,WANCHAQ,M,34,ESTUDIANTE PREGRADO,ESTUDIANTE,ECONOMIA
MCC-2020-2570,2020,CUSCO,LA CONVENCION,MARANURA,F,28,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2578,2020,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,M,24,LICENCIADO/BACHILLER,CONSULTOR,ECONOMIA
MCC-2020-2579,2020,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,M,27,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2580,2020,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,F,25,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2586,2020,CUSCO,QUISPICANCHI,LUCRE,F,25,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2597,2020,CUSCO,URUBAMBA,CHINCHERO,M,26,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2020-2241,2020,CUSCO,CUSCO,CUSCO,M,27,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2257,2020,CUSCO,CUSCO,CUSCO,F,26,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2287,2020,CUSCO,CUSCO,CUSCO,M,28,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2326,2020,CUSCO,CUSCO,CUSCO,F,27,LICENCIADO/BACHILLER,CONSULTOR,ECONOMIA
MCC-2020-2342,2020,CUSCO,CUSCO,CUSCO,F,36,LICENCIADO/BACHILLER,ASISTENTE,ECONOMIA
MCC-2020-2350,2020,CUSCO,CUSCO,SAN JERONIMO,M,28,LICENCIADO/BACHILLER,INGENIERIA,ECONOMIA
MCC-2020-2368,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,37,LICENCIADO/BACHILLER,INDEPENDIENTE,ECONOMIA
MCC-2020-2374,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,25,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2383,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,36,LICENCIADO/BACHILLER,PROYECTISTA,ECONOMIA
MCC-2020-2417,2020,CUSCO,CUSCO,SANTIAGO,M,33,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2424,2020,CUSCO,CUSCO,SANTIAGO,F,29,LICENCIADO/BACHILLER,INDEPENDIENTE,ECONOMIA
MCC-2020-2443,2020,CUSCO,CUSCO,SAYLLA,F,28,LICENCIADO/BACHILLER,INDEPENDIENTE,ECONOMIA
MCC-2020-2460,2020,CUSCO,CUSCO,WANCHAQ,M,35,LICENCIADO/BACHILLER,ASESOR,ECONOMIA
MCC-2020-2491,2020,CUSCO,CUSCO,WANCHAQ,F,30,LICENCIADO/BACHILLER,ASISTENTE,ECONOMIA
MCC-2020-2495,2020,CUSCO,CUSCO,WANCHAQ,F,27,ESTUDIANTE PREGRADO,ESTUDIANTE,ECONOMIA
MCC-2020-2513,2020,CUSCO,CUSCO,WANCHAQ,F,34,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2020-2217,2020,CUSCO,CALCA,LAMAY,M,44,LICENCIADO/BACHILLER,LABORANDO,EDUCACION
MCC-2020-2467,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,44,LICENCIADO/BACHILLER,LABORANDO,EDUCACION
MCC-2020-2572,2020,CUSCO,PARURO,ACCHA,M,24,ESTUDIANTE PREGRADO,ESTUDIANTE,EDUCACION
MCC-2020-2388,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,35,LICENCIADO/BACHILLER,ASISTENTE,NO INFORMO
MCC-2020-2397,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,32,LICENCIADO/BACHILLER,ASISTENTE,NO INFORMO
MCC-2020-2517,2020,CUSCO,CUSCO,WANCHAQ,M,41,LICENCIADO/BACHILLER,VENDEDOR,NO INFORMO
MCC-2020-2405,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,25,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-2330,2020,CUSCO,CUSCO,CUSCO,M,29,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-2270,2020,CUSCO,CUSCO,CUSCO,M,29,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-2400,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,24,ESTUDIANTE PREGRADO,PROFESIONAL TECNICO,NO INFORMO
MCC-2020-2150,2020,CUSCO,CALCA,CALCA,M,24,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2158,2020,CUSCO,CALCA,LAMAY,M,23,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2180,2020,CUSCO,CANCHIS,SAN PEDRO,F,31,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2186,2020,CUSCO,CANCHIS,SICUANI,F,23,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2218,2020,CUSCO,CHUMBIVILCAS,LIVITACA,M,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2253,2020,CUSCO,CUSCO,CUSCO,M,33,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2277,2020,CUSCO,CUSCO,CUSCO,M,26,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2293,2020,CUSCO,CUSCO,CUSCO,M,32,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2297,2020,CUSCO,CUSCO,CUSCO,F,26,ESTUDIANTE PREGRADO,DESEMPLEADO,ESTUDIANTE
MCC-2020-2304,2020,CUSCO,CUSCO,CUSCO,F,23,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2345,2020,CUSCO,CUSCO,POROY,F,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2437,2020,CUSCO,CUSCO,SANTIAGO,M,26,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2441,2020,CUSCO,CUSCO,SAYLLA,F,23,SECUNDARIA,ESTUDIANTE,ESTUDIANTE
MCC-2020-2528,2020,CUSCO,ESPINAR,COPORAQUE,M,25,SECUNDARIA,ESTUDIANTE,ESTUDIANTE
MCC-2020-2531,2020,CUSCO,ESPINAR,ESPINAR,M,23,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2541,2020,CUSCO,ESPINAR,SUYCKUTAMBO,F,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2555,2020,CUSCO,LA CONVENCION,SANTA ANA,F,29,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2577,2020,CUSCO,PAUCARTAMBO,HUANCARANI,M,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-2458,2020,CUSCO,CUSCO,WANCHAQ,M,32,ESTUDIANTE PREGRADO,ESTUDIANTE,CONTABILIDAD
MCC-2020-2242,2020,CUSCO,CUSCO,CUSCO,F,25,ESTUDIANTE PREGRADO,ESTUDIANTE,DERECHO
MCC-2020-2522,2020,CUSCO,CUSCO,WANCHAQ,F,22,ESTUDIANTE PREGRADO,ESTUDIANTE,DERECHO
MCC-2020-2311,2020,CUSCO,CUSCO,CUSCO,F,25,ESTUDIANTE PREGRADO,ESTUDIANTE,CONTABILIDAD
MCC-2020-2151,2020,CUSCO,CALCA,CALCA,M,26,LICENCIADO/BACHILLER,INDEPENDIENTE,ESTUDIANTE
MCC-2020-2494,2020,CUSCO,CUSCO,WANCHAQ,M,37,LICENCIADO/BACHILLER,GUIA OFICIAL EN TURISMO,ADMINISTRACION DE TURISMO
MCC-2020-2584,2020,CUSCO,QUISPICANCHI,CUSIPATA,M,25,ESTUDIANTE PREGRADO,ESTUDIANTE,HISTORIADOR
MCC-2020-2354,2020,CUSCO,CUSCO,SAN JERONIMO,F,26,LICENCIADO/BACHILLER,ASISTENTE,HISTORIADOR
MCC-2020-2450,2020,CUSCO,CUSCO,WANCHAQ,M,25,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA
MCC-2020-2519,2020,CUSCO,CUSCO,WANCHAQ,F,28,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA CIVIL
MCC-2020-2478,2020,CUSCO,CUSCO,WANCHAQ,M,38,LICENCIADO/BACHILLER,CONSULTOR,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2020-2508,2020,CUSCO,CUSCO,WANCHAQ,F,48,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERO QUIMICO
MCC-2020-2134,2020,CUSCO,ANTA,ANTA,M,26,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA CIVIL
MCC-2020-2292,2020,CUSCO,CUSCO,CUSCO,M,29,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2020-2339,2020,CUSCO,CUSCO,CUSCO,M,36,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2481,2020,CUSCO,CUSCO,WANCHAQ,M,51,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2020-2553,2020,CUSCO,LA CONVENCION,PICHARI,M,30,ESTUDIANTE PREGRADO,EMPRESARIO,INGENIERO ELECTRONICO 
MCC-2020-2476,2020,CUSCO,CUSCO,WANCHAQ,M,27,LICENCIADO/BACHILLER,SUPERVISOR,INGENIERO ELECTRONICO 
MCC-2020-2314,2020,CUSCO,CUSCO,CUSCO,F,38,LICENCIADO/BACHILLER,LOGISTICA,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2020-2282,2020,CUSCO,CUSCO,CUSCO,M,37,LICENCIADO/BACHILLER,DOCENCIA,INGENIERO QUIMICO
MCC-2020-2414,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,28,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA CIVIL
MCC-2020-2189,2020,CUSCO,CANCHIS,SICUANI,F,35,LICENCIADO/BACHILLER,VOLUNTARIO,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2020-2132,2020,CUSCO,ACOMAYO,SANGARARA,M,29,LICENCIADO/BACHILLER,ASESOR,INGENIERIA AMBIENTAL
MCC-2020-1282,2020,CUSCO,URUBAMBA,MACHUPICCHU,F,25,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2020-2281,2020,CUSCO,CUSCO,CUSCO,M,26,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2020-2412,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,27,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2020-2510,2020,CUSCO,CUSCO,WANCHAQ,F,25,LICENCIADO/BACHILLER,PRACTICANTE,INGENIERIA AMBIENTAL
MCC-2020-2545,2020,CUSCO,LA CONVENCION,ECHARATE,F,30,LICENCIADO/BACHILLER,COMERCIO,INGENIERIA AMBIENTAL
MCC-2020-2593,2020,CUSCO,QUISPICANCHI,URCOS,F,26,ESTUDIANTE PREGRADO,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2020-0159,2020,CUSCO,CANCHIS,SICUANI,M,24,ESTUDIANTE PREGRADO,DESEMPLEADO,INGENIERIA CIVIL
MCC-2020-0886,2020,CUSCO,URUBAMBA,URUBAMBA,M,32,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-0963,2020,CUSCO,CUSCO,CUSCO,M,28,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2127,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,40,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2020-2129,2020,CUSCO,ACOMAYO,ACOS,M,28,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2181,2020,CUSCO,CANCHIS,SICUANI,M,40,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2183,2020,CUSCO,CUSCO,SAYLLA,M,25,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2219,2020,CUSCO,CHUMBIVILCAS,SANTO TOMAS,M,37,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2274,2020,CUSCO,CUSCO,SAN JERONIMO,M,35,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2284,2020,CUSCO,CUSCO,SANTIAGO,M,29,MAESTRIA,LABORANDO,INGENIERIA CIVIL
MCC-2020-2296,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,36,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2300,2020,CUSCO,CUSCO,CUSCO,F,24,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2302,2020,CUSCO,CUSCO,WANCHAQ,F,29,MAESTRIA,LABORANDO,INGENIERIA CIVIL
MCC-2020-2303,2020,CUSCO,ACOMAYO,ACOMAYO,M,38,MAESTRIA,LABORANDO,INGENIERIA CIVIL
MCC-2020-2376,2020,CUSCO,CUSCO,SAN JERONIMO,M,23,ESTUDIANTE PREGRADO,LABORANDO,INGENIERIA CIVIL
MCC-2020-2378,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,31,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2020-2381,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,30,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2384,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,29,MAESTRIA,LABORANDO,INGENIERIA CIVIL
MCC-2020-2413,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,25,LICENCIADO/BACHILLER,PRACTICANTE,INGENIERIA CIVIL
MCC-2020-2418,2020,CUSCO,CUSCO,SANTIAGO,M,40,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2425,2020,CUSCO,CUSCO,SANTIAGO,M,27,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2453,2020,CUSCO,CUSCO,WANCHAQ,M,39,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2504,2020,CUSCO,CUSCO,WANCHAQ,F,24,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2505,2020,CUSCO,CUSCO,SANTIAGO,M,27,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2020-2506,2020,CUSCO,CUSCO,CUSCO,M,28,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2561,2020,CUSCO,LA CONVENCION,SANTA ANA,F,27,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2592,2020,CUSCO,CUSCO,CUSCO,F,30,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-4588,2020,CUSCO,CALCA,LARES,M,25,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA CIVIL
MCC-2020-2245,2020,CUSCO,CUSCO,CUSCO,F,25,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA GEOLOGICA
MCC-2020-2145,2020,CUSCO,ANTA,HUAROCONDO,M,27,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA INDUSTRIAL
MCC-2020-2155,2020,CUSCO,CALCA,COYA,M,34,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA INDUSTRIAL
MCC-2020-2250,2020,CUSCO,CUSCO,CUSCO,M,28,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA INDUSTRIAL
MCC-2020-2514,2020,CUSCO,CUSCO,WANCHAQ,F,28,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA INDUSTRIAL
MCC-2020-2337,2020,CUSCO,CUSCO,CUSCO,F,28,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERO QUIMICO
MCC-2020-2356,2020,CUSCO,CUSCO,SAN JERONIMO,M,30,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AGRONOMA
MCC-2020-2164,2020,CUSCO,CANAS,KUNTURKANKI,M,31,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA CIVIL
MCC-2020-2455,2020,CUSCO,CUSCO,WANCHAQ,M,24,LICENCIADO/BACHILLER,ASISTENTE,INGENIERIA CIVIL
MCC-2020-2473,2020,CUSCO,CUSCO,WANCHAQ,M,43,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-2564,2020,CUSCO,LA CONVENCION,SANTA ANA,M,31,LICENCIADO/BACHILLER,PROYECTISTA,INGENIERIA CIVIL
MCC-2020-2509,2020,CUSCO,CUSCO,WANCHAQ,M,46,LICENCIADO/BACHILLER,JEFE DE AREA,INGENIERIA DE MINAS
MCC-2020-2499,2020,CUSCO,CUSCO,WANCHAQ,F,29,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2020-2454,2020,CUSCO,CUSCO,WANCHAQ,M,32,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERO ELECTRICISTA
MCC-2020-2310,2020,CUSCO,CUSCO,CUSCO,M,33,LICENCIADO/BACHILLER,INGENIERIA,INGENIERO MECANICO ELECTRICO
MCC-2020-2367,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,31,LICENCIADO/BACHILLER,INDEPENDIENTE,ADMINISTRACION
MCC-2020-2248,2020,CUSCO,CUSCO,CUSCO,F,30,LICENCIADO/BACHILLER,INGENIERIA,ADMINISTRACION
MCC-2020-2276,2020,CUSCO,CUSCO,CUSCO,M,30,LICENCIADO/BACHILLER,INDEPENDIENTE,ADMINISTRACION
MCC-2020-2373,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,35,LICENCIADO/BACHILLER,DESEMPLEADO,ADMINISTRACION
MCC-2020-2172,2020,CUSCO,CANCHIS,CHECACUPE,F,25,ESTUDIANTE PREGRADO,ESTUDIANTE,NO INFORMO
MCC-2020-2231,2020,CUSCO,CHUMBIVILCAS,QUIÑOTA,F,33,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-2527,2020,CUSCO,ESPINAR,COPORAQUE,M,42,LICENCIADO/BACHILLER,LOGISTICA,LOGISTICA
MCC-2020-2211,2020,CUSCO,CANCHIS,SICUANI,M,31,SECUNDARIA,ESTUDIANTE,NO INFORMO
MCC-2020-2249,2020,CUSCO,CUSCO,CUSCO,M,29,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2344,2020,CUSCO,CUSCO,POROY,M,42,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2371,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,27,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2380,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,36,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-2426,2020,CUSCO,CUSCO,SANTIAGO,F,31,ESTUDIANTE PREGRADO,ESTUDIANTE,NO INFORMO
MCC-2020-2557,2020,CUSCO,LA CONVENCION,SANTA ANA,F,35,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-0988,2020,CUSCO,CANAS,CHECCA,F,26,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2148,2020,CUSCO,ANTA,PUCYURA,M,32,ESTUDIANTE PREGRADO,LABORANDO,NO INFORMO
MCC-2020-2161,2020,CUSCO,CALCA,YANATILE,M,33,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2193,2020,CUSCO,CANCHIS,SICUANI,F,33,LICENCIADO/BACHILLER,PRACTICANTE,NO INFORMO
MCC-2020-2210,2020,CUSCO,CANCHIS,SICUANI,F,44,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2280,2020,CUSCO,CUSCO,CUSCO,F,37,ESTUDIANTE PREGRADO,LABORANDO,NO INFORMO
MCC-2020-2283,2020,CUSCO,CUSCO,CUSCO,M,33,ESTUDIANTE PREGRADO,LABORANDO,NO INFORMO
MCC-2020-2335,2020,CUSCO,CUSCO,SANTIAGO,F,36,ESTUDIANTE PREGRADO,DESEMPLEADO,NO INFORMO
MCC-2020-2352,2020,CUSCO,CUSCO,SAN JERONIMO,M,39,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2355,2020,CUSCO,CUSCO,SAN JERONIMO,F,28,ESTUDIANTE PREGRADO,ESTUDIANTE,NO INFORMO
MCC-2020-2362,2020,CUSCO,CUSCO,SAN JERONIMO,F,25,ESTUDIANTE PREGRADO,PRACTICANTE,NO INFORMO
MCC-2020-2408,2020,CUSCO,CUSCO,SAN SEBASTIAN,F,39,MAESTRIA,LABORANDO,NO INFORMO
MCC-2020-2410,2020,CUSCO,CUSCO,SAN SEBASTIAN,M,32,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2492,2020,CUSCO,CUSCO,WANCHAQ,F,21,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-2530,2020,CUSCO,ESPINAR,ESPINAR,F,30,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2542,2020,CUSCO,ESPINAR,SUYCKUTAMBO,M,22,LICENCIADO/BACHILLER,PRACTICANTE,NO INFORMO
MCC-2020-2544,2020,CUSCO,LA CONVENCION,ECHARATE,M,31,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2547,2020,CUSCO,CALCA,LAMAY,M,39,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-2549,2020,CUSCO,LA CONVENCION,OCOBAMBA-KAQUEYCAYBAMBA,M,48,SECUNDARIA,LABORANDO,NO INFORMO
MCC-2020-2575,2020,CUSCO,PAUCARTAMBO,CHALLABAMBA,M,56,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
